Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,38.181801,39.918201,38.181801,39.590900,38.317585,4485800
2019-01-03,39.590900,39.590900,38.663601,39.090900,37.833664,3827670
2019-01-04,39.145500,39.145500,37.409100,37.590900,36.381912,5796450
2019-01-07,37.590900,37.927299,36.418201,36.727299,35.546089,4321020
2019-01-08,37.027302,37.981800,36.690899,37.909100,36.689884,5931420
2019-01-09,38.136398,39.081799,38.136398,38.727299,37.481762,3688850
2019-01-10,39.000000,39.236401,38.445499,38.781799,37.534512,3864300
2019-01-11,38.781799,38.818199,37.918201,37.918201,36.698681,3327170
2019-01-14,38.000000,38.509102,36.818199,37.227299,36.030010,6363940
2019-01-15,37.318199,37.909100,37.063599,37.090900,35.897991,10260250
2019-01-16,37.272701,37.909100,37.209099,37.909100,36.689884,3097600
2019-01-17,37.963600,39.754501,37.963600,39.318199,38.053658,6252070
2019-01-18,39.227299,40.336399,38.945499,39.863602,38.581516,5830990
2019-01-21,39.545502,39.700001,38.827301,39.090900,37.833664,1954590
2019-01-22,39.336399,39.572701,38.409100,38.545502,37.305813,2907630
2019-01-23,38.781799,39.745499,38.645500,39.263599,38.000813,3921610
2019-01-24,39.409100,40.400002,39.381802,40.400002,39.100666,4418590
2019-01-28,40.400002,41.245499,39.809101,41.154499,39.830898,4162290
2019-01-29,41.363602,41.509102,40.663601,41.445499,40.112541,2418240
2019-01-30,41.772701,41.963600,40.472698,41.290901,39.962914,3952960
2019-01-31,41.318199,42.036400,40.727299,41.363602,40.033276,5202450
2019-02-01,41.154499,42.181801,40.872700,41.509102,40.174103,3118720
2019-02-04,41.509102,42.090900,40.900002,41.818199,40.473248,2918300
2019-02-05,41.618198,41.945499,41.163601,41.336399,40.006947,2438150
2019-02-06,41.045502,41.054501,39.281799,39.281799,38.018429,5187820
2019-02-07,39.818199,40.263599,38.681801,39.409100,38.141636,7187950
2019-02-08,40.045502,40.190899,38.727299,39.545502,38.273647,9751610
2019-02-11,39.554501,39.763599,38.763599,39.090900,37.833664,3818100
2019-02-12,39.754501,40.909100,39.109100,40.599998,39.294231,5979380
2019-02-13,40.863602,40.863602,39.190899,39.545502,38.273647,4814590
2019-02-14,39.736401,40.727299,38.554501,40.599998,39.294231,6530810
2019-02-15,40.545502,40.618198,39.945499,40.136398,38.845539,4189130
2019-02-18,40.136398,40.336399,39.309101,40.218201,38.924713,1665180
2019-02-19,40.363602,40.763599,39.536400,40.545502,39.241489,4126320
2019-02-20,40.545502,40.854500,39.272701,39.454498,38.185574,3749240
2019-02-21,39.636398,40.072701,38.963600,39.363602,38.097591,2558600
2019-02-22,39.836399,40.672699,39.136398,40.636398,39.329460,2275020
2019-02-25,40.727299,41.109100,40.090900,40.354500,39.056633,1987920
2019-02-26,40.099998,40.599998,40.018200,40.363602,39.065437,1836120
2019-02-27,40.281799,40.363602,39.299999,40.045502,38.757568,4323770
2019-02-28,39.872700,40.290901,39.272701,39.345501,38.080086,3869690
2019-03-01,39.618198,39.900002,38.772701,39.390900,38.124016,4672690
2019-03-06,null,null,null,null,null,null
2019-03-07,39.409100,39.509102,38.681801,38.918201,37.666527,5538830
2019-03-08,38.754501,40.190899,38.099998,39.872700,38.590321,2951960
2019-03-11,39.909100,41.645500,39.781799,41.481800,40.147675,2812920
2019-03-12,41.481800,41.481800,40.463600,41.045502,39.725407,2231790
2019-03-13,40.745499,41.045502,39.900002,40.327301,39.030304,13895750
2019-03-14,40.272701,40.372700,39.827301,40.181801,38.889481,2253130
2019-03-15,40.236401,40.618198,39.718201,39.990898,38.704727,4337520
2019-03-18,40.154499,40.972698,39.663601,40.527302,39.223869,3172400
2019-03-19,40.545502,40.854500,40.145500,40.400002,39.100666,3233450
2019-03-20,40.218201,40.727299,39.609100,40.000000,38.713535,3223660
2019-03-21,39.936401,39.990898,38.745499,39.145500,37.886513,3843840
2019-03-22,38.618198,39.109100,38.000000,38.772701,37.606876,3571700
2019-03-25,38.027302,38.854500,38.027302,38.200001,37.051392,2855930
2019-03-26,38.436401,38.581799,37.663601,38.463600,37.307068,6318400
2019-03-27,37.818199,38.354500,36.927299,37.281799,36.160801,5871360
2019-03-28,37.172699,38.809101,36.945499,38.454498,37.298237,6149990
2019-03-29,38.818199,39.818199,38.427299,39.818199,38.620941,5265040
2019-04-01,40.190899,40.254501,39.463600,39.809101,38.612118,4207940
2019-04-02,39.763599,39.963600,38.672699,39.336399,38.153625,3055360
2019-04-03,39.772701,40.390900,39.000000,39.272701,38.091839,6623320
2019-04-04,39.309101,40.181801,39.227299,40.000000,38.797276,3292520
2019-04-05,40.190899,40.390900,39.700001,40.000000,38.797276,2049080
2019-04-08,39.836399,39.881802,38.627300,38.918201,37.748001,4182090
2019-04-09,38.772701,39.218201,38.218201,38.672699,37.509884,2822380
2019-04-10,38.663601,39.063599,38.554501,38.809101,37.642181,4282410
2019-04-11,38.709099,38.709099,37.836399,38.090900,36.945576,3022140
2019-04-12,37.836399,38.127300,36.909100,37.781799,36.645771,5580630
2019-04-15,38.163601,38.163601,37.163601,37.545502,36.416573,2001340
2019-04-16,37.281799,37.909100,37.145500,37.527302,36.398922,2898170
2019-04-17,37.318199,37.545502,36.645500,37.172699,36.054981,5467440
